attendance,behavior,quiz_score,mid_score,final_score,previous_grade,current_grade,decline
present,not active,52,77,98,78,72,1
present,active,70,72,94,85,78,1
absent,disturbing,97,42,64,99,49,1
absent,not active,85,56,68,80,56,1
absent,not active,93,79,81,63,71,0
absent,disturbing,93,56,56,71,50,1
late,not active,66,70,49,58,53,1
absent,not active,50,79,64,100,51,1
absent,not active,46,43,79,86,43,1
present,not active,82,58,47,71,59,1
absent,disturbing,88,99,60,89,64,1
absent,active,41,89,42,83,47,1
present,not active,84,42,83,64,66,0
present,not active,97,61,84,70,77,0
present,disturbing,41,92,71,67,60,1
late,disturbing,56,60,78,90,51,1
late,not active,93,55,76,66,66,0
late,active,63,91,78,72,72,0
absent,active,79,60,84,65,64,1
present,not active,97,70,43,72,67,1
absent,not active,51,99,78,79,63,1
absent,not active,87,49,70,59,55,1
absent,active,74,80,77,61,67,0
absent,not active,92,100,99,63,84,0
late,not active,62,76,86,56,66,0
absent,not active,78,58,57,97,51,1
late,disturbing,75,73,93,81,67,1
late,disturbing,70,69,98,65,66,0
absent,not active,75,100,45,75,60,1
present,active,44,65,60,64,56,1
absent,not active,89,58,55,99,54,1
late,disturbing,89,81,54,87,61,1
late,active,72,89,71,50,72,0
late,not active,71,58,73,69,59,1
late,not active,64,87,90,92,72,1
late,disturbing,42,55,65,61,41,1
late,disturbing,40,54,56,52,37,1
absent,not active,50,43,94,77,49,1
late,not active,94,89,73,76,77,0
absent,disturbing,62,68,68,100,48,1
present,disturbing,89,51,80,82,65,1
late,not active,48,90,56,95,56,1
absent,not active,84,56,85,81,62,1
absent,not active,75,41,72,86,49,1
present,active,66,67,52,50,61,0
late,not active,77,62,61,51,58,0
present,not active,42,56,40,81,43,1
present,not active,91,99,42,87,74,1
present,not active,49,69,79,58,62,0
late,active,72,62,51,66,56,1
present,active,99,87,40,90,75,1
late,not active,55,68,71,69,56,1
present,disturbing,68,88,49,52,60,0
absent,disturbing,47,73,73,75,46,1
late,disturbing,54,72,62,86,49,1
present,disturbing,63,51,97,61,62,0
late,active,60,44,96,62,61,1
absent,not active,64,66,79,75,56,1
absent,disturbing,90,68,44,51,49,1
present,not active,85,67,56,97,66,1
present,active,60,60,84,53,68,0
late,disturbing,67,58,48,58,44,1
present,disturbing,68,86,78,51,69,0
late,active,46,49,68,86,49,1
present,disturbing,44,99,100,58,73,0
present,disturbing,70,64,99,96,69,1
present,not active,63,57,70,67,60,1
absent,not active,46,57,71,70,45,1
absent,disturbing,73,87,88,60,64,0
present,active,60,43,98,99,67,1
absent,disturbing,59,68,55,67,42,1
present,disturbing,83,69,68,84,65,1
absent,active,49,78,77,55,58,0
present,disturbing,66,75,89,96,68,1
present,active,74,95,99,98,89,1
