student_id,term,attendance_rate,attendance_count,behavior_count,behavior_severity_score,quiz_score,mid_score,final_score,quiz_max,mid_max,final_max,previous_grade,current_grade,decline
1000,2023 Term 2,0.61,18,1,0.49,9.91,19.66,42.16,10,20,70,70.48,62.21,1
1001,2024 Term 1,0.58,19,0,0.0,9.57,17.39,39.45,15,25,60,72.32,68.55,0
1002,2023 Term 3,0.78,23,2,0.92,8.4,20.46,34.36,20,30,50,60.72,57.45,0
1003,2023 Term 1,0.7,23,0,0.0,0.86,27.5,40.32,10,40,50,74.85,64.47,1
1004,2024 Term 1,1.0,23,5,2.46,20,26.78,42.95,20,30,50,87.81,86.98,0
1005,2024 Term 3,0.79,19,1,0.67,9.28,10.47,56.87,10,20,70,71.23,72.69,0
1006,2025 Term 3,0.63,19,0,0.0,10,13.4,43.92,10,20,70,73.93,66.39,0
1007,2024 Term 3,0.58,19,3,2.26,0.4,19.39,34.96,10,40,50,55.37,56.7,1
1008,2025 Term 1,0.77,22,1,0.8,7.56,16.5,36.31,10,30,60,54.12,60.41,0
1009,2025 Term 1,0.86,22,3,1.92,7.59,35.08,42.09,10,40,50,76.94,86.29,0
1010,2025 Term 3,0.83,24,0,0.0,7.25,30,54.71,10,30,60,88.17,89.97,0
1011,2023 Term 3,0.91,22,5,3.0,1.18,23.87,41.09,10,30,60,70.6,64.63,0
1012,2023 Term 1,0.77,22,0,0.0,20,28.07,35.59,20,30,50,76.59,87.71,0
1013,2023 Term 2,0.56,18,0,0.0,15,12.75,42.64,15,25,60,71.19,64.63,0
1014,2025 Term 1,0.74,19,5,2.62,11.83,19.48,25.23,20,30,50,52.14,51.95,1
1015,2025 Term 3,0.74,19,0,0.0,3.38,20,60.51,10,20,70,77.02,77.7,0
1016,2025 Term 2,0.74,19,5,3.0,10.55,11.95,36.83,15,25,60,57.84,50.84,1
1017,2025 Term 1,0.7,20,3,2.24,9.25,19.74,38.13,10,20,70,65.56,62.55,1
1018,2023 Term 2,0.89,19,4,2.32,1.95,27.52,41.79,10,40,50,64.47,74.19,0
1019,2025 Term 3,0.78,18,0,0.0,2.5,23.32,41.89,10,30,60,66.13,58.65,0
1020,2025 Term 1,0.72,18,3,1.54,12.92,17.04,35.76,15,25,60,61.2,56.66,1
